sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Class
25727,2983,25725,0,0,0,1,0,97,0,9,1,A
25728,2983,25725,0,0,0,1,0,97,0,9,1,A
25730,2983,25725,0,0,0,0,0,97,0,9,1,A
25733,2982,25731,0,0,0,1,0,96,1,9,1,A
25734,2982,25731,0,11,13,2,0,87,0,9,11,A
25736,2982,25731,0,0,0,1,0,96,1,9,1,A
25739,2981,25737,0,0,0,2,0,93,0,11,3,A
25740,2981,25737,0,6,9,2,0,90,0,11,6,A
25742,2981,25737,0,15,17,2,0,80,0,11,16,A
25745,2980,25743,21,0,0,6,0,68,0,11,28,A
25746,2980,25743,0,0,0,1,0,92,1,9,5,A
25748,2980,25743,0,0,0,0,0,96,2,9,0,A
25751,3072,25749,0,0,0,1,0,94,0,12,1,A
25752,3072,25749,0,0,0,1,0,94,0,12,1,A
25754,3072,25749,0,2,6,1,0,93,0,12,2,A
25757,2975,25755,0,0,0,2,0,92,1,12,2,A
25758,2975,25755,0,0,0,3,0,91,0,12,4,A
25760,2975,25755,0,0,0,2,0,91,1,12,3,A
25763,2974,25761,0,0,0,3,0,92,0,12,3,A
25764,2974,25761,0,0,0,2,0,93,0,12,2,A
25766,2974,25761,0,0,0,2,0,93,0,12,2,A
25769,2973,25767,0,0,0,1,0,101,0,5,1,A
25770,2973,25767,0,0,0,2,0,99,0,5,3,A
25772,2973,25767,0,0,0,1,0,101,0,5,1,A
25775,2972,25773,0,0,0,1,0,100,0,5,2,A
25776,2972,25773,0,0,0,1,0,100,0,5,2,A
25778,2972,25773,0,0,0,1,0,100,0,5,2,A
25781,2971,25779,4,0,0,3,0,94,0,5,8,A
25782,2971,25779,4,0,0,3,0,93,0,5,9,A
25784,2971,25779,5,3,5,5,0,89,1,5,12,A
25787,2970,25785,0,0,0,1,0,98,0,5,4,A
25788,2970,25785,23,0,0,4,0,75,1,5,26,A
25790,2970,25785,1,0,2,4,0,89,1,5,12,A
25793,2969,25791,0,0,0,2,0,94,0,6,7,A
25794,2969,25791,0,0,0,1,0,96,0,6,5,A
25796,2969,25791,7,0,0,6,0,86,1,6,14,A
25799,2968,25797,0,0,0,2,0,86,0,18,3,A
25800,2968,25797,0,0,0,1,0,92,0,12,3,A
25802,2968,25797,0,0,4,2,0,92,0,12,3,A
25805,2967,25803,0,0,21,1,0,95,0,11,1,A
25806,2967,25803,0,62,70,1,0,34,0,11,62,B
25808,2967,25803,0,0,0,1,0,93,0,11,3,A
25811,2966,25809,0,0,0,2,0,58,0,46,3,A
25812,2966,25809,0,0,0,4,0,61,0,41,5,A
25814,2966,25809,0,0,13,4,0,61,0,41,5,A
25817,2965,25815,0,0,0,0,0,86,2,19,0,A
25818,2965,25815,1,0,0,0,0,86,1,19,1,A
25820,2965,25815,0,0,0,0,0,88,0,19,0,A
25823,2914,25821,85,0,0,1,84,10,0,12,85,C
25824,2914,25821,1,12,13,4,0,69,1,21,16,A
25826,2914,25821,1,0,0,4,0,89,0,13,5,A
25829,2985,25827,1,0,0,3,0,99,1,4,3,A
25830,2985,25827,1,0,0,4,0,83,1,19,4,A
25832,2985,25827,1,0,0,3,0,99,1,4,3,A
25855,2912,25853,0,0,5,1,0,86,1,16,4,A
25856,2912,25853,0,9,12,5,0,76,1,16,14,A
25858,2912,25853,0,0,0,0,0,90,0,17,0,A
25861,2915,25859,2,1,1,6,0,94,0,5,8,A
25862,2915,25859,4,0,0,7,2,91,0,5,11,A
25864,2915,25859,2,0,0,7,0,95,0,5,7,A
25867,3073,25865,8,0,0,6,5,92,0,3,12,A
25868,3073,25865,1,0,4,3,0,101,0,3,3,A
25870,3073,25865,0,4,8,3,0,98,0,3,6,A
